,1,2,3,4,5,6,7,8,9,10,11,12
all,472,424,465,450,465,480,496,496,480,496,480,496
lo-temp,421,343,310,138,26,0,0,0,0,20,191,392
me-temp,50,80,151,277,240,47,1,1,36,209,270,103
hi-temp,1,1,4,35,199,433,495,494,444,267,19,1
lo-humi,36,40,34,18,31,61,35,27,6,16,22,27
me-humi,54,74,95,105,82,94,103,86,66,40,56,65
hi-humi,382,310,336,327,352,325,358,382,408,440,402,404
lo-wind,208,249,281,316,346,386,411,411,389,363,250,227
me-wind,181,133,141,104,108,87,79,85,84,115,180,175
hi-wind,80,42,43,30,11,7,2,0,7,18,50,94
lo-temp+lo-humi,29,24,11,2,1,0,0,0,0,4,13,17
lo-temp+me-humi,45,52,49,14,0,0,0,0,0,3,27,52
lo-temp+hi-humi,347,267,250,122,25,0,0,0,0,13,151,323
me-temp+lo-humi,6,16,20,5,2,0,0,0,0,5,6,9
me-temp+me-humi,9,22,45,73,20,1,0,0,4,18,27,13
me-temp+hi-humi,35,42,86,199,218,46,1,1,32,186,237,81
hi-temp+lo-humi,1,0,3,11,28,61,35,27,6,7,3,1
hi-temp+me-humi,0,0,1,18,62,93,103,86,62,19,2,0
hi-temp+hi-humi,0,1,0,6,109,279,357,381,376,241,14,0
lo-temp+lo-wind,183,204,168,85,20,0,0,0,0,6,75,167
lo-temp+me-wind,165,104,101,40,5,0,0,0,0,12,93,142
lo-temp+hi-wind,70,35,41,13,1,0,0,0,0,2,23,83
me-temp+lo-wind,25,45,111,200,172,41,0,1,23,152,162,60
me-temp+me-wind,15,28,38,61,60,5,1,0,12,47,82,32
me-temp+hi-wind,10,7,2,16,8,1,0,0,1,10,26,11
hi-temp+lo-wind,0,0,2,31,154,345,411,410,366,205,13,0
hi-temp+me-wind,1,1,2,3,43,82,78,84,72,56,5,1
hi-temp+hi-wind,0,0,0,1,2,6,2,0,6,6,1,0
lo-humi+lo-wind,6,12,18,14,16,42,26,23,3,9,6,4
lo-humi+me-wind,18,19,15,2,13,19,9,4,2,6,14,11
lo-humi+hi-wind,11,9,1,2,2,0,0,0,1,1,2,12
me-humi+lo-wind,15,34,60,75,51,73,81,69,49,21,22,27
me-humi+me-wind,23,32,31,25,30,20,18,17,15,19,26,22
me-humi+hi-wind,16,8,4,5,1,1,2,0,2,0,8,16
hi-humi+lo-wind,187,203,203,227,279,271,304,319,337,333,222,196
hi-humi+me-wind,140,82,95,77,65,48,52,63,67,90,140,142
hi-humi+hi-wind,53,25,38,23,8,6,0,0,4,17,40,66
lo-temp+lo-humi+lo-wind,6,4,4,1,1,0,0,0,0,1,1,0
lo-temp+lo-humi+me-wind,13,12,6,0,0,0,0,0,0,3,10,5
lo-temp+lo-humi+hi-wind,9,8,1,1,0,0,0,0,0,0,2,12
lo-temp+me-humi+lo-wind,12,23,28,9,0,0,0,0,0,0,9,17
lo-temp+me-humi+me-wind,20,24,18,4,0,0,0,0,0,3,13,21
lo-temp+me-humi+hi-wind,13,5,3,1,0,0,0,0,0,0,5,14
lo-temp+hi-humi+lo-wind,165,177,136,75,19,0,0,0,0,5,65,150
lo-temp+hi-humi+me-wind,132,68,77,36,5,0,0,0,0,6,70,116
lo-temp+hi-humi+hi-wind,48,22,37,11,1,0,0,0,0,2,16,57
me-temp+lo-humi+lo-wind,0,8,13,4,0,0,0,0,0,3,4,4
me-temp+lo-humi+me-wind,4,7,7,1,0,0,0,0,0,2,2,5
me-temp+lo-humi+hi-wind,2,1,0,0,2,0,0,0,0,0,0,0
me-temp+me-humi+lo-wind,3,11,31,50,5,0,0,0,4,11,13,10
me-temp+me-humi+me-wind,3,8,13,19,14,1,0,0,0,7,11,1
me-temp+me-humi+hi-wind,3,3,1,4,1,0,0,0,0,0,3,2
me-temp+hi-humi+lo-wind,22,26,67,146,167,41,0,1,19,138,145,46
me-temp+hi-humi+me-wind,8,13,18,41,46,4,1,0,12,38,69,26
me-temp+hi-humi+hi-wind,5,3,1,12,5,1,0,0,1,10,23,9
hi-temp+lo-humi+lo-wind,0,0,1,9,15,42,26,23,3,5,1,0
hi-temp+lo-humi+me-wind,1,0,2,1,13,19,9,4,2,1,2,1
hi-temp+lo-humi+hi-wind,0,0,0,1,0,0,0,0,1,1,0,0
hi-temp+me-humi+lo-wind,0,0,1,16,46,73,81,69,45,10,0,0
hi-temp+me-humi+me-wind,0,0,0,2,16,19,18,17,15,9,2,0
hi-temp+me-humi+hi-wind,0,0,0,0,0,1,2,0,2,0,0,0
hi-temp+hi-humi+lo-wind,0,0,0,6,93,230,304,318,318,190,12,0
hi-temp+hi-humi+me-wind,0,1,0,0,14,44,51,63,55,46,1,0
hi-temp+hi-humi+hi-wind,0,0,0,0,2,5,0,0,3,5,1,0
