,lo-temp,me-temp,hi-temp,lo-humi,me-humi,hi-humi,lo-wind,me-wind,hi-wind
1,0.891949,0.105932,0.002119,0.076271,0.114407,0.809322,0.440678,0.383475,0.169492
2,0.808962,0.188679,0.002358,0.094340,0.174528,0.731132,0.587264,0.313679,0.099057
3,0.666667,0.324731,0.008602,0.073118,0.204301,0.722581,0.604301,0.303226,0.092473
4,0.306667,0.615556,0.077778,0.040000,0.233333,0.726667,0.702222,0.231111,0.066667
5,0.055914,0.516129,0.427957,0.066667,0.176344,0.756989,0.744086,0.232258,0.023656
6,0.000000,0.097917,0.902083,0.127083,0.195833,0.677083,0.804167,0.181250,0.014583
7,0.000000,0.002016,0.997984,0.070565,0.207661,0.721774,0.828629,0.159274,0.004032
8,0.000000,0.002016,0.995968,0.054435,0.173387,0.770161,0.828629,0.171371,0.000000
9,0.000000,0.075000,0.925000,0.012500,0.137500,0.850000,0.810417,0.175000,0.014583
10,0.040323,0.421371,0.538306,0.032258,0.080645,0.887097,0.731855,0.231855,0.036290
11,0.397917,0.562500,0.039583,0.045833,0.116667,0.837500,0.520833,0.375000,0.104167
12,0.790323,0.207661,0.002016,0.054435,0.131048,0.814516,0.457661,0.352823,0.189516
