Year,Month,Day,Temperature,Humidity,Wind
2009,6,1,20.000,59.000,11.963
2009,6,2,21.600,38.000,14.244
2009,6,3,22.100,46.000,17.448
2009,6,4,20.600,63.000,10.662
2009,6,5,18.500,80.000,12.744
2009,6,6,18.500,60.000,15.646
2009,6,7,18.300,61.000,13.467
2009,6,8,18.100,75.000,17.775
2009,6,9,19.700,43.000,17.398
2009,6,10,21.200,56.000,16.067
2009,6,11,21.900,53.000,12.248
2009,6,12,21.800,62.000,15.894
2009,6,13,25.600,36.000,17.300
2009,6,14,25.800,40.000,11.217
2009,6,15,22.700,62.000,17.369
2009,6,16,23.900,59.000,11.713
2009,6,17,25.200,46.000,6.654
2009,6,18,25.700,39.000,7.929
2009,6,19,25.000,51.000,9.452
2009,6,20,20.500,72.000,18.560
2009,6,21,19.700,64.000,16.056
2009,6,22,20.000,65.000,10.944
2009,6,23,20.400,66.000,15.373
2009,6,24,21.000,75.000,17.542
2009,6,25,21.800,68.000,11.408
2009,6,26,23.900,50.000,10.385
2009,6,27,22.800,58.000,19.046
2009,6,28,23.300,70.000,11.708
2009,6,29,26.900,41.000,9.450
2009,6,30,28.400,34.000,11.629
2009,7,1,29.100,32.000,12.540
2009,7,2,26.700,39.000,10.740
2009,7,3,25.600,54.000,10.150
2009,7,4,26.400,50.000,9.562
2009,7,5,25.300,58.000,10.213
2009,7,6,24.400,58.000,9.110
2009,7,7,21.500,66.000,10.398
2009,7,8,19.300,70.000,5.519
2009,7,9,17.700,85.000,8.492
2009,7,10,19.200,82.000,8.825
2009,7,11,19.900,80.000,10.519
2009,7,12,22.800,80.000,16.990
2009,7,13,24.200,66.000,10.088
2009,7,14,23.100,77.000,15.696
2009,7,15,23.400,75.000,6.175
2009,7,16,23.400,76.000,9.133
2009,7,17,21.400,77.000,10.031
2009,7,18,20.100,39.000,17.948
2009,7,19,21.100,64.000,12.365
2009,7,20,22.800,68.000,16.256
2009,7,21,23.400,65.000,14.627
2009,7,22,24.200,72.000,10.537
2009,7,23,28.900,44.000,17.967
2009,7,24,26.600,48.000,10.919
2009,7,25,23.100,67.000,15.327
2009,7,26,23.300,71.000,16.213
2009,7,27,23.900,67.000,13.185
2009,7,28,24.200,61.000,14.125
2009,7,29,24.800,65.000,12.671
2009,7,30,25.200,70.000,13.685
2009,7,31,23.900,69.000,18.558
2009,8,1,23.600,75.000,15.104
2009,8,2,22.100,66.000,12.267
2009,8,3,21.500,61.000,6.785
2009,8,4,23.400,64.000,12.240
2009,8,5,25.600,63.000,17.383
2009,8,6,26.300,48.000,12.550
2009,8,7,25.300,60.000,12.227
2009,8,8,24.900,61.000,13.246
2009,8,9,23.200,65.000,11.604
2009,8,10,22.000,75.000,10.702
2009,8,11,24.400,60.000,12.071
2009,8,12,25.400,52.000,12.017
2009,8,13,26.400,45.000,19.262
2009,8,14,28.500,37.000,14.442
2009,8,15,27.100,48.000,10.540
2009,8,16,25.900,62.000,8.938
